		HOLA	                                                                             TEL.	4282-9358 / 1555234202 / 1522112978 / 				494*7130					
				SANTA FE  250  LOMAS DE ZAMORA									
Papelera 				Distribuidora : ventas x Mayor y Menor									
			                                                DESCARTABLES & EMBALAJES										
codigo	                Categoria	                Producto	                Formato	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
													
                     			           BOBINAS DE ARRANQUE X KG                   X MENOR                                                                  X MAYOR										
	BOBINAS	BOBINAS DE ARRANQUE	10X12X200  GRS	$15,00	1,00	$13,50	20,00	$270,00	10,00	ROLLO	1 ROLLO DE 10X12X200  GRS A $15	20 ROLLOS DE $13,5 C/U A $270	20 ROLLOS A $270
	BOBINAS	BOBINAS DE ARRANQUE	20X30X1500GRS	$54,00	1,00	$49,68	6,00	$298,08	8,00	ROLLO	1 ROLLO DE 20X30X1500GRS A $54	6 ROLLOS DE $49,68 C/U A $298,08	6 ROLLOS A $298,08
	BOBINAS	BOBINAS DE ARRANQUE	25X35X1500GRS	$54,00	1,00	$49,68	6,00	$298,08	8,00	ROLLO	1 ROLLO DE 25X35X1500GRS A $54	6 ROLLOS DE $49,68 C/U A $298,08	6 ROLLOS A $298,08
	BOBINAS	BOBINAS DE ARRANQUE	30X40X1500GRS	$54,00	1,00	$49,68	6,00	$298,08	8,00	ROLLO	1 ROLLO DE 30X40X1500GRS A $54	6 ROLLOS DE $49,68 C/U A $298,08	6 ROLLOS A $298,08
	BOBINAS	BOBINAS DE ARRANQUE	35X45X1500GRS	$54,00	1,00	$49,68	6,00	$298,08	8,00	ROLLO	1 ROLLO DE 35X45X1500GRS A $54	6 ROLLOS DE $49,68 C/U A $298,08	6 ROLLOS A $298,08
	BOBINAS	BOBINAS DE ARRANQUE	40X50X1500GRS	$54,00	1,00	$49,68	6,00	$298,08	8,00	ROLLO	1 ROLLO DE 40X50X1500GRS A $54	6 ROLLOS DE $49,68 C/U A $298,08	6 ROLLOS A $298,08
	BOBINAS	BOBINAS DE ARRANQUE	45X60X1500GRS	$54,00	1,00	$49,68	6,00	$298,08	8,00	ROLLO	1 ROLLO DE 45X60X1500GRS A $54	6 ROLLOS DE $49,68 C/U A $298,08	6 ROLLOS A $298,08
	BOBINAS	BOBINAS DE ARRANQUE	50X70X1500GRS	$54,00	1,00	$49,68	6,00	$298,08	8,00	ROLLO	1 ROLLO DE 50X70X1500GRS A $54	6 ROLLOS DE $49,68 C/U A $298,08	6 ROLLOS A $298,08
													
COD.			     BOBINAS DE ARRANQUE RENDIDORA                                                                            	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	BOBINAS	BOBINAS DE ARRANQUE RENDIDORA	15X20X500 BOLSAS	20,00	1,00	$18,00	12,00	$216,00	10,00	ROLLO	1 ROLLO DE 15X20X500 BOLSAS A $20	12 ROLLOS DE $18 C/U A $216	12 ROLLOS A $216
	BOBINAS	BOBINAS DE ARRANQUE RENDIDORA	15X25X500 BOLSAS	22,00	1,00	$19,92	12,00	$239,04	9,45	ROLLO	1 ROLLO DE 15X25X500 BOLSAS A $22	12 ROLLOS DE $19,92 C/U A $239,04	12 ROLLOS A $239,04
	BOBINAS	BOBINAS DE ARRANQUE RENDIDORA	20X25X500 BOLSAS	30,00	1,00	$27,00	12,00	$324,00	10,00	ROLLO	1 ROLLO DE 20X25X500 BOLSAS A $30	12 ROLLOS DE $27 C/U A $324	12 ROLLOS A $324
	BOBINAS	BOBINAS DE ARRANQUE RENDIDORA	20X30X500 BOLSAS	32,00	1,00	$28,75	12,00	$345,00	10,16	ROLLO	1 ROLLO DE 20X30X500 BOLSAS A $32	12 ROLLOS DE $28,75 C/U A $345	12 ROLLOS A $345
	BOBINAS	BOBINAS DE ARRANQUE RENDIDORA	25X35X500 BOLSAS	40,00	1,00	$36,00	9,00	$324,00	10,00	ROLLO	1 ROLLO DE 25X35X500 BOLSAS A $40	9 ROLLOS DE $36 C/U A $324	9 ROLLOS A $324
	BOBINAS	BOBINAS DE ARRANQUE RENDIDORA	30X40X500 BOLSAS	52,00	1,00	$46,83	6,00	$280,98	9,94	ROLLO	1 ROLLO DE 30X40X500 BOLSAS A $52	6 ROLLOS DE $46,83 C/U A $280,98	6 ROLLOS A $280,98
	BOBINAS	BOBINAS DE ARRANQUE RENDIDORA	35X45X250 BOLSAS	40,00	1,00	$36,00	6,00	$216,00	10,00	ROLLO	1 ROLLO DE 35X45X250 BOLSAS A $40	6 ROLLOS DE $36 C/U A $216	6 ROLLOS A $216
	BOBINAS	BOBINAS DE ARRANQUE RENDIDORA	40X50X250 BOLSAS	45,00	1,00	$40,50	6,00	$243,00	10,00	ROLLO	1 ROLLO DE 40X50X250 BOLSAS A $45	6 ROLLOS DE $40,5 C/U A $243	6 ROLLOS A $243
													
COD.			           BOLSAS CAMISETAS (economicas)                                                                                              	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	BOLSAS	BOLSAS CAMISETAS ECONOMICAS	20X30  blanca  	7,00	100,00	$6,30	50,00	$315,00	10,00	PAQ	PAQ DE 100 UNID.  DE 20X30  blanca   A $7 C/U	50 PAQS DE $6,3 C/U A $315	0,5 PAQS DE 100 UNIDADES A $315
	BOLSAS	BOLSAS CAMISETAS ECONOMICAS	30X40  blanca  	8,00	100,00	$7,00	20,00	$140,00	12,50	PAQ	PAQ DE 100 UNID.  DE 30X40  blanca   A $8 C/U	20 PAQS DE $7 C/U A $140	0,2 PAQS DE 100 UNIDADES A $140
	BOLSAS	BOLSAS CAMISETAS ECONOMICAS	30X40     (color)    tiburon	8,00	100,00	$5,25	20,00	$105,00	34,38	PAQ	PAQ DE 100 UNID.  DE 30X40     (color)    tiburon A $8 C/U	20 PAQS DE $5,25 C/U A $105	0,2 PAQS DE 100 UNIDADES A $105
	BOLSAS	BOLSAS CAMISETAS ECONOMICAS	40X50     (color)    reforzada	11,00	100,00	$10,00	20,00	$200,00	9,09	PAQ	PAQ DE 100 UNID.  DE 40X50     (color)    reforzada A $11 C/U	20 PAQS DE $10 C/U A $200	0,2 PAQS DE 100 UNIDADES A $200
	BOLSAS	BOLSAS CAMISETAS ECONOMICAS	40X50     (color)    tiburon	10,00	100,00	$9,00	20,00	$180,00	10,00	PAQ	PAQ DE 100 UNID.  DE 40X50     (color)    tiburon A $10 C/U	20 PAQS DE $9 C/U A $180	0,2 PAQS DE 100 UNIDADES A $180
	BOLSAS	BOLSAS CAMISETAS ECONOMICAS	45X60     (color) 	17,00	100,00	$15,33	15,00	$229,95	9,82	PAQ	PAQ DE 100 UNID.  DE 45X60     (color)  A $17 C/U	15 PAQS DE $15,33 C/U A $229,95	0,15 PAQS DE 100 UNIDADES A $229,95
